iso,country,EPI.new,HLT.new,AIR.new,WMG.new,region,GDP,Secondary_enrollment,Employment_rate,Unemployment,Urban Population
AFG,Afghanistan,33.14,24.66,24.44,56.2,Southern Asia,416.871146273728,59.6136016845703,32.408,13.687,25.7007352636188
ALB,Albania,49.22,48.67,37.37,91.69,Eastern Europe,11374.0085781236,96.1368771236947,57.164,10.689,58.5463634043555
DZA,Algeria,42.74,50.96,54.83,40.0,Greater Middle East,5752.99076651465,101.264892578125,36.363,11.655,75.2792907190618
AGO,Angola,39.46,24.93,19.45,43.89,Sub-Saharan Africa,2720.81900669715,51.4839046246776,64.383,14.02,70.6551379036435
ATG,Antigua & Barbuda,48.04,66.07,68.52,49.5,Latin America & Caribbean,23059.8330702839,108.880778588808,,,24.3906919254799
ARG,Argentina,46.06,66.35,64.89,89.3,Latin America & Caribbean,13969.7836603737,105.574584297051,57.439,7.15,92.2742315972952
ARM,Armenia,43.05,43.63,40.24,0.2,Former Soviet States,8556.21406956719,89.4111027634947,52.485,12.405,65.8113671449901
AUS,Australia,59.4,87.76,88.93,99.78,Global West,64609.9865116088,134.099243164062,64.089,3.942,87.6021469990446
AUT,Austria,66.8,79.0,72.78,99.54,Global West,58268.8787651601,100.504371643066,57.361,5.2,69.4658181096788
AZE,Azerbaijan,39.76,31.79,28.57,67.66,Former Soviet States,7294.64276088105,92.7402972401367,60.292,5.648,58.573795837717
BHS,Bahamas,44.99,68.59,77.81,0.0,Latin America & Caribbean,39455.4466548546,87.1455240465819,67.303,9.049,81.3249262966481
BHR,Bahrain,31.05,50.07,38.78,98.51,Greater Middle East,29717.1424605273,104.392938701638,69.804,1.084,100.0
BGD,Bangladesh,23.46,19.31,11.96,58.45,Southern Asia,2593.41611680774,65.9856598598849,56.762,3.635,32.6783196323307
BRB,Barbados,41.43,69.15,70.4,84.54,Latin America & Caribbean,26897.2002039176,102.513702392578,60.786,6.448,59.5397032429174
BLR,Belarus,47.03,56.77,59.4,99.99,Former Soviet States,8605.60954569694,97.4265999006565,61.069,3.458,79.1551015210848
BEL,Belgium,60.08,84.6,81.7,98.14,Global West,56581.9375642531,142.960266113281,51.429,5.7,87.6126557010527
BLZ,Belize,41.35,37.78,30.71,0.0,Latin America & Caribbean,7681.24400583113,83.619553808705,51.905,8.698,41.7532107338224
BEN,Benin,39.85,25.93,22.37,25.0,Sub-Saharan Africa,1485.38018885134,,75.022,1.637,52.5455354818423
BTN,Bhutan,47.74,27.87,19.56,66.05,Southern Asia,4228.05102403654,86.8564415582911,62.77,3.282,42.5645249803412
BOL,Bolivia,39.25,35.23,24.69,78.99,Latin America & Caribbean,4421.16609889999,91.3676827044767,75.766,3.274,71.2361453773988
